城市定位,区县定位,街道定位,小区定位,热度,参考均价,建筑年代,建筑类型,物业费,物业,开发商,楼栋总数,房屋总数,经度,纬度,房龄
南京,江宁 ,江宁大学城,天祥家园               ,58,20497,2004,塔板结合         ,1,业主自筹物业                    ,无开发商                       ,11,1083,118.877628 ,31.925331,15.0
南京,雨花台,宁南   ,景明佳园映景苑            ,27,23022,2003,板楼           ,0.3,南京海天物业管理有限公司              ,南京市经济实用住房发展中心商品房开发部        ,8,438,118.7876413,31.97326859,16.0
南京,建邺 ,应天西路 ,凤凰文化广场             ,3,17857,2010,板楼           ,3,无物业管理服务                   ,南京市政建设开发有限公司               ,2,440,118.7432933,32.02027262,9.0
南京,鼓楼 ,许府巷  ,紫苑                 ,84,36530,2002,板楼           ,0.6,街道办事处（委员会）代管物业            ,南京大众房地产开发集团有限公司            ,5,186,118.7841234,32.09366434,17.0
南京,鼓楼 ,挹江门  ,花香季雨园              ,54,30168,2005,塔板结合         ,1,业主自筹物业                    ,南京航空瑞华置业有限公司               ,3,126,118.7552023,32.085642,14.0
南京,鼓楼 ,福建路  ,洪庙一巷19号            ,6,29263,1995,板楼           ,0.1,街道办事处（委员会）代管物业            ,鼓楼区房产开发公司                  ,3,114,118.769072 ,32.093461,24.0
南京,江宁 ,将军大道 ,运盛美之国3组团           ,14,37411,2011,板楼           ,,业主自筹物业                    ,运盛实业(南京)建设发展有限公司           ,26,36,118.782958 ,31.960682000000002,8.0
南京,江宁 ,东山镇  ,天景山公寓欣荣苑           ,15,21082,2000,板楼           ,0.3,南京江宁科学园高校物业有限公司           ,南京江宁科学园房地产开发有限公司           ,28,1116,118.8787162,31.94612239,19.0
南京,玄武 ,玄武门  ,大树根                ,118,62011,1984,板楼/塔板结合      ,0.5,业主自筹物业                    ,南京鼓楼城镇建设综合开发(集团)公司         ,24,870,118.792384 ,32.078723,35.0
南京,浦口 ,桥北   ,旭日华庭               ,115,23108,2003,板楼           ,1.26,南京弘阳物业管理有限公司              ,弘阳集团                       ,52,1756,118.731088 ,32.13648,16.0
南京,建邺 ,南湖   ,电站村                ,38,30082,1989,板楼/塔板结合      ,0.3,街道办事处（委员会）代管物业            ,南京市建邺房地产开发公司               ,15,584,118.7677884,32.02815209,30.0
南京,鼓楼 ,小市   ,铁古庙                ,2,29679,1990,板楼/塔板结合      ,0.35,街道办事处（委员会）代管物业            ,南京市下关城市建设开发(集团)有限公司        ,6,52,118.78448  ,32.100977,29.0
南京,建邺 ,奥体   ,金洲苑小区              ,20,,1995,板楼/塔板结合      ,0.4,江苏常发物业服务有限公司              ,无开发商                       ,13,336,118.747571 ,31.99217,24.0
南京,秦淮 ,洪家园  ,九龙雅苑               ,155,32446,2003,板楼/塔板结合      ,0.6,业主自筹物业                    ,江苏五友房地产开发有限公司              ,8,493,118.814201 ,32.006791,16.0
南京,江宁 ,湖熟   ,恒建金陵美域             ,14,13810,2016,塔板结合         ,0.65,南京恒江物业管理服务有限公司            ,南京恒建房地产开发有限公司              ,11,404,118.984549 ,31.872669000000002,3.0
南京,秦淮 ,夫子庙  ,金陵闸小区              ,53,37385,1986,板楼/塔板结合      ,0.5,无物业管理服务                   ,南京市秦淮区城镇建设综合开发总公司          ,12,457,118.800545 ,32.026903999999995,33.0
南京,建邺 ,应天西路 ,怡康街                ,2,22087,2005,板楼           ,3,江苏饭店物业管理有限公司              ,江苏国信地产                     ,1,5,118.755712 ,32.019007,14.0
南京,江宁 ,江宁大学城,文博苑                ,217,24169,2010,板楼           ,1.4,南京紫竹物业管理有限公司              ,南京药大房地产开发有限公司              ,53,1287,118.916464 ,31.910285,9.0
南京,秦淮 ,建康路  ,建康新村               ,139,31200,1995,板楼/塔板结合      ,1,业主自筹物业                    ,南京市秦淮区城镇建设综合开发总公司          ,13,855,118.802285 ,32.031257000000004,24.0
南京,高淳 ,高淳   ,景桥茗苑南区             ,0,11132,,未知类型         ,,暂无信息                      ,暂无信息                       ,4,152,118.887924 ,31.320586,
南京,建邺 ,湖西街  ,华润新悦天地             ,39,43731,2016,板楼           ,5.3,江苏华润置地物业服务有限公司            ,华润置地南京开发有限公司               ,1,60,118.752298 ,32.027931,3.0
南京,江宁 ,东山镇  ,教工新寓西苑             ,16,25961,2000,塔板结合         ,0.3,街道办事处（委员会）代管物业            ,无开发商                       ,14,426,118.8504079,31.96814697,19.0
