iter	Passed	Remaining
1190	41872	46021
1191	41897	45975
1192	41924	45930
1193	41949	45884
1194	41973	45837
1195	41998	45790
1196	42023	45745
1197	42048	45698
1198	42072	45651
1199	42100	45608
1200	42123	45560
1201	42146	45512
1202	42170	45465
1203	42195	45419
1204	42221	45374
1205	42376	45468
1206	42423	45446
1207	42572	45533
1208	42992	45908
1209	43227	46086
1210	44162	47007
1211	44246	47021
1212	44317	47020
1213	44504	47143
1214	44544	47110
1215	44694	47193
1216	44757	47184
1217	44792	47146
1218	44820	47099
1219	44845	47051
1220	44875	47007
1221	44905	46963
1222	44939	46923
1223	44978	46889
1224	45015	46852
1225	45041	46805
1226	45350	47050
1227	46085	47737
1228	46808	48408
1229	47060	48591
1230	47126	48581
1231	47165	48543
1232	47229	48532
1233	47320	48547
1234	47416	48568
1235	47454	48529
1236	47527	48526
1237	47580	48502
1238	47661	48508
1239	47691	48461
1240	47720	48412
1241	47748	48364
1242	47776	48315
1243	47804	48265
1244	47833	48217
1245	47865	48172
1246	47892	48123
1247	47923	48076
1248	47949	48025
1249	47978	47978
1250	48011	47934
1251	48038	47885
1252	48073	47843
1253	48109	47802
1254	48145	47762
1255	48181	47721
1256	48215	47678
1257	48252	47638
1258	48287	47597
1259	48324	47557
1260	48363	47519
1261	48392	47472
1262	48418	47421
1263	48442	47369
1264	48468	47318
1265	48494	47269
1266	48521	47219
1267	48545	47167
1268	48570	47115
1269	48593	47063
1270	48619	47013
1271	48642	46960
1272	48667	46909
1273	48692	46857
1274	48716	46805
1275	48740	46754
1276	48766	46704
1277	48790	46652
1278	48818	46604
1279	48842	46552
1280	48868	46502
1281	48893	46452
1282	48919	46402
1283	48943	46351
1284	48969	46301
1285	48993	46250
1286	49019	46201
1287	49045	46151
1288	49070	46101
1289	49095	46050
1290	49120	46000
1291	49146	45951
1292	49174	45903
1293	49201	45855
1294	49226	45805
1295	49248	45752
1296	49271	45700
1297	49294	45648
1298	49318	45598
1299	49346	45550
1300	49372	45501
1301	49399	45453
1302	49426	45405
1303	49453	45357
1304	49480	45309
1305	49506	45260
1306	49532	45212
1307	49560	45164
1308	49588	45118
1309	49617	45072
1310	49643	45023
1311	49671	44976
1312	49698	44929
1313	49723	44880
1314	49753	44834
1315	49780	44787
1316	49813	44744
1317	49840	44698
1318	49865	44648
1319	49889	44598
1320	49914	44549
1321	49939	44499
1322	49964	44450
1323	49991	44403
1324	50014	44352
1325	50037	44301
1326	50060	44250
1327	50085	44201
1328	50110	44153
1329	50138	44106
1330	50164	44059
1331	50190	44010
1332	50215	43962
1333	50241	43914
1334	50265	43864
1335	50290	43816
1336	50320	43771
1337	50343	43721
1338	50372	43676
1339	50399	43629
1340	50427	43583
1341	50458	43539
1342	50489	43496
1343	50518	43452
1344	50545	43404
1345	50571	43358
1346	50597	43310
1347	50620	43260
1348	50645	43212
1349	50673	43166
1350	50701	43120
1351	50725	43072
1352	50753	43025
1353	50779	42978
1354	50802	42929
1355	50829	42882
1356	50853	42833
1357	50878	42785
1358	50909	42743
1359	50937	42697
1360	50964	42651
1361	50990	42604
1362	51014	42555
1363	51037	42506
1364	51062	42458
1365	51085	42409
1366	51109	42360
1367	51144	42321
1368	51182	42284
1369	51216	42244
1370	51250	42203
1371	51286	42165
1372	51326	42129
1373	51372	42099
1374	51403	42057
1375	51428	42010
1376	51456	41964
1377	51481	41917
1378	51505	41869
1379	51529	41821
1380	51555	41774
1381	51581	41727
1382	51607	41681
1383	51629	41631
1384	51654	41584
1385	51679	41537
1386	51702	41488
1387	51728	41442
1388	51753	41395
1389	51777	41347
1390	51806	41303
1391	51835	41259
1392	51864	41216
1393	51893	41172
1394	51921	41128
1395	51952	41085
1396	51986	41045
1397	52015	41002
1398	52042	40957
1399	52074	40915
1400	52109	40876
1401	52141	40835
1402	52173	40794
1403	52199	40748
1404	52225	40702
1405	52247	40653
1406	52274	40608
1407	52299	40561
1408	52335	40523
1409	52361	40477
1410	52387	40432
1411	52412	40385
1412	52435	40337
1413	52460	40291
1414	52486	40245
1415	52512	40200
1416	52536	40152
1417	52561	40106
1418	52587	40061
1419	52612	40015
1420	52640	39970
1421	52666	39925
1422	52690	39879
1423	52718	39835
1424	52744	39789
1425	52768	39742
1426	52790	39694
1427	52814	39648
1428	52848	39608
1429	52875	39563
1430	52901	39519
1431	52928	39474
1432	52952	39427
1433	52977	39382
1434	52999	39333
1435	53021	39285
1436	53044	39238
1437	53068	39192
1438	53090	39144
1439	53116	39099
1440	53142	39054
1441	53169	39010
1442	53194	38965
1443	53217	38918
1444	53241	38871
1445	53266	38826
1446	53294	38783
1447	53329	38745
1448	53356	38700
1449	53380	38654
1450	53404	38608
1451	53428	38562
1452	53454	38518
1453	53480	38473
1454	53504	38427
1455	53527	38380
1456	53553	38336
1457	53581	38293
1458	53605	38247
1459	53630	38202
1460	53655	38157
1461	53679	38111
1462	53704	38066
1463	53729	38021
1464	53753	37976
1465	53776	37929
1466	53802	37885
1467	53832	37843
1468	53857	37799
1469	53885	37756
1470	53915	37715
1471	53946	37674
1472	53981	37636
1473	54012	37596
1474	54043	37555
1475	54071	37512
1476	54105	37474
1477	54135	37433
1478	54185	37405
1479	54218	37366
1480	54251	37327
1481	54282	37287
1482	54314	37247
1483	54360	37217
1484	54397	37181
1485	54424	37137
1486	54450	37093
1487	54489	37058
1488	54520	37018
1489	54556	36981
1490	54587	36940
1491	54621	36902
1492	54651	36861
1493	54682	36821
1494	54710	36778
1495	54735	36734
1496	54759	36689
1497	54784	36645
1498	54812	36602
1499	54839	36559
1500	54865	36516
1501	54891	36472
1502	54916	36428
1503	54941	36384
1504	54964	36338
1505	54990	36294
1506	55017	36252
1507	55044	36209
1508	55071	36167
1509	55097	36123
1510	55127	36082
1511	55158	36042
1512	55184	35999
1513	55216	35960
1514	55248	35920
1515	55282	35882
1516	55324	35849
1517	55357	35811
1518	55388	35770
1519	55419	35730
1520	55460	35697
1521	55499	35662
1522	55528	35621
1523	55556	35579
1524	55583	35537
1525	55610	35494
1526	55640	35453
1527	55662	35408
1528	55689	35365
1529	55714	35322
1530	55739	35278
1531	55764	35235
1532	55791	35192
1533	55818	35150
1534	55841	35105
1535	55867	35062
1536	55893	35019
1537	55916	34975
1538	55941	34931
1539	55967	34888
1540	55990	34844
1541	56024	34806
1542	56256	34891
1543	56324	34874
1544	57011	35239
1545	57285	35349
1546	57954	35701
1547	58271	35836
1548	58311	35799
1549	58341	35757
1550	58367	35713
1551	58393	35667
1552	58417	35622
1553	58442	35577
1554	58469	35532
1555	58494	35487
1556	58519	35442
1557	58546	35398
1558	58574	35355
1559	58605	35313
1560	58640	35274
1561	58669	35231
1562	58706	35193
1563	58730	35148
1564	58754	35102
1565	58779	35057
1566	58805	35012
1567	58830	34968
1568	58857	34924
1569	58883	34880
1570	58908	34835
1571	58933	34790
1572	58959	34745
1573	58987	34702
1574	59013	34658
1575	59040	34615
1576	59067	34571
1577	59092	34526
1578	59119	34483
1579	59145	34438
1580	59170	34394
1581	59195	34349
1582	59219	34304
1583	59249	34262
1584	59277	34220
1585	59307	34178
1586	59334	34135
1587	59362	34092
1588	59387	34048
1589	59412	34003
1590	59436	33958
1591	59462	33914
1592	59494	33874
1593	59519	33829
1594	59545	33785
1595	59572	33742
1596	59600	33700
1597	59647	33668
1598	59674	33625
1599	59700	33581
1600	59725	33537
1601	59754	33495
1602	59785	33454
1603	59816	33413
1604	59844	33371
1605	59870	33327
1606	59894	33283
1607	59924	33241
1608	59948	33196
1609	59974	33153
1610	60003	33111
1611	60180	33151
1612	60346	33185
1613	60548	33238
1614	61408	33651
1615	61764	33786
1616	61839	33768
1617	61899	33742
1618	61971	33722
1619	62024	33692
1620	62068	33656
1621	62111	33621
1622	62183	33601
1623	62264	33586
1624	62357	33577
1625	62399	33540
1626	62425	33495
1627	62453	33451
1628	62475	33404
1629	62502	33360
1630	62533	33317
1631	62559	33273
1632	62585	33228
1633	62607	33181
1634	62637	33138
1635	62665	33094
1636	62690	33049
1637	62717	33005
1638	62744	32960
1639	62772	32917
1640	62798	32872
1641	62824	32827
1642	62847	32781
1643	62872	32736
1644	62895	32690
1645	62922	32646
1646	62949	32602
1647	62976	32558
1648	63000	32512
1649	63028	32469
1650	63053	32424
1651	63078	32379
1652	63102	32333
1653	63126	32288
1654	63149	32242
1655	63182	32201
1656	63210	32158
1657	63235	32113
1658	63259	32068
1659	63284	32023
1660	63316	31982
1661	63347	31940
1662	63372	31895
1663	63399	31852
1664	63426	31808
